x,y
803.068430,503.750626
827.785811,662.791311
921.260217,847.869920
1014.734622,1032.948528
1108.209027,1218.027137
1201.683432,1403.105745
1295.157837,1588.184354
1388.632242,1773.262962
1482.106647,1958.341571
1575.581053,2143.420179
1707.710416,2301.576297
1853.903067,2449.937585
2000.095717,2598.298874
2146.288367,2746.660162
2292.481018,2895.021451
2438.673668,3043.382739
2584.866319,3191.744028
2731.058969,3340.105316
2877.251620,3488.466605
3023.444270,3636.827893
3169.636921,3785.189182
3315.829571,3933.550470
3454.026754,4089.317182
3573.068390,4262.825815
3692.110026,4436.334449
3803.874367,4614.581796
3912.111958,4795.125638
4020.349550,4975.669480
4128.587141,5156.213321
4236.824733,5336.757163
4345.062324,5517.301004
4453.299916,5697.844846
4561.537507,5878.388687
4669.775099,6058.932529
4778.012691,6239.476370
4886.250282,6420.020212
4994.487874,6600.564054
5102.725465,6781.107895
5210.963057,6961.651737
5292.139600,7151.940665
5359.078363,7347.356830
5426.017127,7542.772995
5492.955890,7738.189160
5559.894653,7933.605326
5626.833417,8129.021491
5693.772180,8324.437656
5760.710943,8519.853821
5827.649707,8715.269986
5894.588470,8910.686151
5961.527234,9106.102317
6057.298398,9291.359196
6164.350015,9472.641333
6271.401632,9653.923471
6378.453249,9835.205609
6485.504866,10016.487746
6592.556483,10197.769884
6699.608100,10379.052022
6806.659717,10560.334159
6913.711334,10741.616297
7020.762951,10922.898434
7127.814568,11104.180572
7234.866185,11285.462710
7341.917802,11466.744847
7448.969419,11648.026985
7556.021036,11829.309122
7663.072653,12010.591260
7770.124270,12191.873398
7877.175887,12373.155535
7984.227504,12554.437673
8091.279121,12735.719810
8198.330738,12917.001948
8305.382355,13098.284086
8412.433972,13279.566223
8519.485589,13460.848361
8626.537206,13642.130499
8733.588823,13823.412636
8841.823043,14004.007759
8950.423784,14184.389958
9059.024525,14364.772157
9167.625266,14545.154356
9276.226007,14725.536555
9384.826748,14905.918754
9493.427489,15086.300953
9602.028230,15266.683152
9722.479134,15438.415620
9844.275505,15609.166000
9966.071875,15779.916379
10087.868246,15950.666759
10209.664616,16121.417138
10331.460986,16292.167518
10453.257357,16462.917897
10581.891473,16628.378889
10725.019253,16782.628202
10868.147032,16936.877516
11011.274811,17091.126829
11154.402590,17245.376143
11297.530370,17399.625456
11440.658149,17553.874770
11583.785928,17708.124083
11726.913707,17862.373397
11885.434743,17998.807070
12048.005604,18130.553611
12210.576465,18262.300151
12373.147327,18394.046692
12535.718188,18525.793233
12704.396473,18647.878567
12892.950543,18738.522809
13081.504613,18829.167051
13270.058683,18919.811293
13458.612753,19010.455535
13647.166823,19101.099778
13835.720893,19191.744020
14024.274963,19282.388262
14212.829034,19373.032504
14401.383104,19463.676746
14589.937174,19554.320988
14778.491244,19644.965230
14969.411619,19722.117359
15164.170638,19777.382452
15358.929657,19832.647546
15553.688675,19887.912639
15748.447694,19943.177732
15943.206713,19998.442826
16137.965731,20053.707919
16332.724750,20108.973012
16522.394220,20191.844068
16710.301623,20284.272664
16898.209026,20376.701259
17086.116429,20469.129854
17274.023832,20561.558450
17464.346010,20649.097375
17661.829487,20722.135409
17859.312963,20795.173442
18056.796439,20868.211476
18254.279915,20941.249510
18451.763391,21014.287544
18649.246867,21087.325577
18846.730344,21160.363611
19044.213820,21233.401645
19241.697296,21306.439679
19439.180772,21379.477712
19636.664248,21452.515746
19834.147725,21525.553780
20031.631201,21598.591814
20229.114677,21671.629848
20426.598153,21744.667881
20624.081629,21817.705915
20821.565106,21890.743949
21019.048582,21963.781983
21216.532058,22036.820016
21414.015534,22109.858050
21611.499010,22182.896084
21808.982486,22255.934118
22006.465963,22328.972151
22203.949439,22402.010185
22401.432915,22475.048219
22598.916391,22548.086253
22796.399867,22621.124286
22993.883344,22694.162320
23191.366820,22767.200354
23388.850296,22840.238388
23591.316344,22894.758986
23794.095124,22948.117334
23996.873904,23001.475682
24199.652684,23054.834030
24402.431464,23108.192378
24605.210244,23161.550726
24810.442237,23196.335738
25019.035587,23205.671839
25227.628937,23215.007939
25436.222287,23224.344039
25644.815637,23233.680139
25853.408986,23243.016240
26062.002336,23252.352340
26269.436453,23252.097994
26470.552465,23199.573365
26671.668476,23147.048737
26872.784488,23094.524108
27073.900500,23041.999480
27275.016511,22989.474851
27476.132523,22936.950223
27677.248535,22884.425594
27878.364546,22831.900966
28079.480558,22779.376337
28266.447551,22692.857787
28444.139568,22584.055515
28621.831584,22475.253243
28799.523601,22366.450970
28957.213129,22231.466796
29103.096826,22081.029590
29248.980524,21930.592384
29394.864222,21780.155178
29540.747919,21629.717973
29686.631617,21479.280767
29832.515315,21328.843561
29978.399013,21178.406355
30104.044293,21019.293164
30196.258215,20845.848319
30288.472138,20672.403475
30380.686060,20498.958630
