x,y
1043.988960,352.625438
1037.223350,506.730072
1119.841872,694.684005
1202.460395,882.637939
1285.078917,1070.591872
1367.697439,1258.545806
1450.315961,1446.499739
1532.934483,1634.453673
1615.553005,1822.407606
1698.171528,2010.361540
1831.041496,2163.316235
1982.193737,2303.537652
2133.345978,2443.759070
2284.498219,2583.980487
2435.650460,2724.201905
2586.802701,2864.423322
2737.954942,3004.644740
2889.107183,3144.866157
3040.259424,3285.087574
3191.411665,3425.308992
3342.563906,3565.530409
3493.716147,3705.751827
3634.474281,3855.600295
3750.330203,4028.513261
3866.186125,4201.426226
3976.947940,4377.656292
4085.241031,4555.493904
4193.534122,4733.331515
4301.827213,4911.169127
4410.120304,5089.006738
4518.413395,5266.844349
4626.706486,5444.681961
4734.999576,5622.519572
4843.292667,5800.357184
4951.585758,5978.194795
5059.878849,6156.032407
5168.171940,6333.870018
5276.465031,6511.707630
5384.758122,6689.545241
5457.871850,6880.051465
5512.476464,7077.223098
5567.081079,7274.394730
5621.685693,7471.566362
5676.290307,7668.737994
5730.894921,7865.909626
5785.499536,8063.081258
5840.104150,8260.252891
5894.708764,8457.424523
5949.313379,8654.596155
6003.917993,8851.767787
6096.004728,9035.732347
6202.756053,9214.529744
6309.507377,9393.327140
6416.258701,9572.124537
6523.010025,9750.921933
6629.761349,9929.719329
6736.512673,10108.516726
6843.263997,10287.314122
6950.015321,10466.111518
7056.766645,10644.908915
7163.517969,10823.706311
7270.269293,11002.503707
7377.020617,11181.301104
7483.771941,11360.098500
7590.523265,11538.895896
7697.274589,11717.693293
7804.025913,11896.490689
7910.777237,12075.288085
8017.528561,12254.085482
8124.279885,12432.882878
8231.031209,12611.680274
8337.782533,12790.477671
8444.533857,12969.275067
8551.285181,13148.072463
8658.036505,13326.869860
8764.787829,13505.667256
8872.366975,13683.983742
8980.202686,13862.151182
9088.038397,14040.318621
9195.874108,14218.486060
9303.709818,14396.653499
9411.545529,14574.820939
9519.381240,14752.988378
9627.216951,14931.155817
9750.457874,15098.078607
9875.447903,15263.724681
10000.437932,15429.370755
10125.427961,15595.016829
10250.417990,15760.662903
10375.408020,15926.308977
10500.398049,16091.955051
10630.174500,16253.898554
10770.096515,16407.993882
10910.018531,16562.089209
11049.940546,16716.184537
11189.862561,16870.279865
11329.784577,17024.375193
11469.706592,17178.470521
11609.628607,17332.565849
11749.550623,17486.661176
11909.483871,17617.596172
12074.681893,17742.437895
12239.879915,17867.279618
12405.077936,17992.121342
12570.275958,18116.963065
12739.749177,18235.041943
12923.135445,18331.112057
13106.521713,18427.182172
13289.907981,18523.252286
13473.294249,18619.322400
13656.680517,18715.392514
13840.066785,18811.462629
14023.453053,18907.532743
14206.839321,19003.602857
14390.225589,19099.672971
14573.611857,19195.743085
14756.998125,19291.813200
14942.040806,19378.438835
15129.770538,19449.743545
15317.500270,19521.048255
15505.230002,19592.352965
15692.959734,19663.657675
15880.689466,19734.962385
16068.419198,19806.267095
16256.148930,19877.571805
16440.315978,19968.200689
16623.249580,20065.519850
16806.183181,20162.839012
16989.116782,20260.158173
17172.050383,20357.477335
17358.123191,20448.439925
17553.505687,20520.551356
17748.888183,20592.662788
17944.270680,20664.774219
18139.653176,20736.885650
18335.035672,20808.997082
18530.418168,20881.108513
18725.800664,20953.219945
18921.183160,21025.331376
19116.565656,21097.442807
19311.948153,21169.554239
19507.330649,21241.665670
19702.713145,21313.777102
19898.095641,21385.888533
20093.478137,21457.999964
20288.860633,21530.111396
20484.243129,21602.222827
20679.625625,21674.334259
20875.008122,21746.445690
21070.390618,21818.557122
21265.773114,21890.668553
21461.155610,21962.779984
21656.538106,22034.891416
21851.920602,22107.002847
22047.303098,22179.114279
22242.685595,22251.225710
22438.068091,22323.337141
22633.450587,22395.448573
22828.833083,22467.560004
23024.215579,22539.671436
23219.598075,22611.782867
23418.468372,22670.932094
23617.557580,22729.267745
23816.646789,22787.603396
24015.735998,22845.939048
24214.825207,22904.274699
24413.914416,22962.610350
24616.192801,22996.800665
24822.840951,22997.907395
25029.489101,22999.014124
25236.137251,23000.120853
25442.785400,23001.227583
25649.433550,23002.334312
25856.081700,23003.441041
26061.918386,22997.834458
26263.332399,22955.638677
26464.746412,22913.442897
26666.160425,22871.247116
26867.574438,22829.051335
27068.988451,22786.855554
27270.402464,22744.659773
27471.816477,22702.463992
27673.230490,22660.268212
27874.644503,22618.072431
28057.664791,22531.684552
28228.627611,22416.327834
28399.590430,22300.971116
28570.553250,22185.614398
28727.514327,22051.930349
28876.211323,21907.429178
29024.908319,21762.928007
29173.605316,21618.426835
29322.302312,21473.925664
29470.999308,21329.424493
29619.696304,21184.923322
29768.393300,21040.422151
29902.923405,20889.847789
30014.051558,20729.241271
30125.179712,20568.634752
30236.307865,20408.028234
