x,y
8.030684304999999767e+02,5.037506255000000124e+02
8.948048518043837021e+02,7.383993720026143137e+02
9.967274989225903710e+02,9.769055885377923687e+02
1.111382928308075634e+03,1.220233642613675102e+03
1.233838583601502705e+03,1.466342974434754296e+03
1.361769646653125847e+03,1.711376780931910844e+03
1.498005593976246018e+03,1.950626383270554243e+03
1.650048527104488358e+03,2.178866701188300794e+03
1.820185071152294540e+03,2.394505140969990407e+03
2.005486374814923920e+03,2.599581595447687505e+03
2.198289780011177754e+03,2.799432969663001131e+03
2.393540366869447553e+03,2.997579925383928639e+03
2.588790953727717806e+03,3.195726881104856147e+03
2.784041540585988059e+03,3.393873836825783656e+03
2.978287359566289979e+03,3.592951411323878347e+03
3.169180602282886412e+03,3.795134151195290087e+03
3.352610498564771206e+03,4.004113968619600200e+03
3.525603113137056880e+03,4.222382847873283026e+03
3.687336163510373353e+03,4.450292918204256239e+03
3.840398783813366663e+03,4.685236140538537256e+03
3.988120742016355507e+03,4.924212475276858640e+03
4.133557622041927061e+03,5.164769809420115052e+03
4.278231059932438257e+03,5.405824269862708206e+03
4.422789990870430302e+03,5.646953293150264471e+03
4.567348921808422347e+03,5.888082316437819827e+03
4.711907852746414392e+03,6.129211339725375183e+03
4.855875149821502418e+03,6.370553419185630446e+03
4.996616308973697414e+03,6.613057278999490336e+03
5.129453955945917187e+03,6.858407311356073478e+03
5.249442747872703876e+03,7.108384407934613591e+03
5.355723082282774158e+03,7.363298124397920219e+03
5.451521097099022882e+03,7.621986680392390554e+03
5.542373769049811926e+03,7.882456128066091878e+03
5.631775204666414538e+03,8.143448187575304473e+03
5.721377040356088401e+03,8.404369634802047585e+03
5.813363881480755481e+03,8.664450709693162935e+03
5.911904538691186644e+03,8.922222504424797080e+03
6.022550827707790631e+03,9.175728800249822598e+03
6.146886153673276567e+03,9.424411673962482382e+03
6.282525511152652143e+03,9.669111497898413290e+03
6.423716684352435550e+03,9.911855103087213138e+03
6.566691662768000242e+03,1.015397017278779276e+04
6.709666641183564025e+03,1.039608524248837057e+04
6.852641619599126898e+03,1.063820031218895019e+04
6.995616598014690680e+03,1.088031538188952982e+04
7.138591576430254463e+03,1.112243045159010944e+04
7.281566554845817336e+03,1.136454552129068907e+04
7.424541533261381119e+03,1.160666059099126687e+04
7.567516511676945811e+03,1.184877566069184286e+04
7.710491490092509594e+03,1.209089073039242066e+04
7.853466468508072467e+03,1.233300580009300029e+04
7.996441446923636249e+03,1.257512086979357991e+04
8.139416425339200941e+03,1.281723593949415954e+04
8.282391403754763815e+03,1.305935100919473734e+04
8.425417498557790168e+03,1.330143638364888648e+04
8.568622454438765999e+03,1.354341785162509768e+04
8.712210644391198002e+03,1.378517668590677749e+04
8.856309720549235863e+03,1.402663872903154152e+04
9.000894078440973317e+03,1.426781885550716652e+04
9.145784856988464526e+03,1.450882097181158861e+04
9.291311063600713169e+03,1.474937829232629156e+04
9.438531063364627698e+03,1.498870307198292721e+04
