x,y
1.284909488799999963e+03,2.015002501999999538e+02
1.327785176297275257e+03,4.363073284055442969e+02
1.386958825096667397e+03,6.772863586631907538e+02
1.466504925523705424e+03,9.259803289859646611e+02
1.558531387403450026e+03,1.179124343701053476e+03
1.659318501696308203e+03,1.430547517897865646e+03
1.773393430823562767e+03,1.672715965441056824e+03
1.912759537239011479e+03,1.897269557910812409e+03
2.081075421125762205e+03,2.101660145362877756e+03
2.273654920396230864e+03,2.289151556328553852e+03
2.478237782120497741e+03,2.468282838874416939e+03
2.686736134503992162e+03,2.644687051829263055e+03
2.895234486887486128e+03,2.821091264784108262e+03
3.103732839270980094e+03,2.997495477738953923e+03
3.310623563049724453e+03,3.175388680737266895e+03
3.512150164806539124e+03,3.358250148332888330e+03
3.702239317800816480e+03,3.551658814695809269e+03
3.877277945001755597e+03,3.758856128619759602e+03
4.037736927711411681e+03,3.979242170121483014e+03
4.188675011097690003e+03,4.208047525123408377e+03
4.335053326723123064e+03,4.440710780170086764e+03
4.480111683921829353e+03,4.674382405828920128e+03
4.624864664266510772e+03,4.908252882007486733e+03
4.769571841830184894e+03,5.142153183324037855e+03
4.914279019393859016e+03,5.376053484640590796e+03
5.058986196957533139e+03,5.609953785957142827e+03
5.202746760340563014e+03,5.844194977150012164e+03
5.341345503046960403e+03,6.080295016908651633e+03
5.467298626265398525e+03,6.320948932735648668e+03
5.572693581411144805e+03,6.569006151317774311e+03
5.656155004530141923e+03,6.824961961715528560e+03
5.722844716299026913e+03,7.086957515363141283e+03
5.781621879483176599e+03,7.351802495697525046e+03
5.838077064532629265e+03,7.617483654968727933e+03
5.894852889698995568e+03,7.883051834587980011e+03
5.955444723561348837e+03,8.147275418470225304e+03
6.026522663160925731e+03,8.407804154097304490e+03
6.116969613650379870e+03,8.661508091473806417e+03
6.229319023258044581e+03,8.907494553470531173e+03
6.359754883287930170e+03,9.147108135824482815e+03
6.499073648470472108e+03,9.383591768183023305e+03
6.641246501998260101e+03,9.619069743760412166e+03
6.783419355526049912e+03,9.854547719337801027e+03
6.925592209053839724e+03,1.009002569491518989e+04
7.067765062581628627e+03,1.032550367049257875e+04
7.209937916109417529e+03,1.056098164606996579e+04
7.352110769637205522e+03,1.079645962164735283e+04
7.494283623164993514e+03,1.103193759722474169e+04
7.636456476692782417e+03,1.126741557280213055e+04
7.778629330220571319e+03,1.150289354837951942e+04
7.920802183748360221e+03,1.173837152395690828e+04
8.062975037276148214e+03,1.197384949953429714e+04
8.205147890803937116e+03,1.220932747511168600e+04
8.347320744331727838e+03,1.244480545068907486e+04
8.489514044414501768e+03,1.268027154816789152e+04
8.631778888928454762e+03,1.291569608305553265e+04
8.774197027070991680e+03,1.315103156446536195e+04
8.916819519695769486e+03,1.338624832941242494e+04
9.059636125014030767e+03,1.362135232769983122e+04
9.202575298594587366e+03,1.385638512191875634e+04
9.346377974517790790e+03,1.409079523182899720e+04
9.492860105184981876e+03,1.432325106125271122e+04
9.644912661318490791e+03,1.455164089807442178e+04
9.804043860939704246e+03,1.477486385631077974e+04
9.969673188070441029e+03,1.499334366906564355e+04
1.013917542714711453e+04,1.520899462538961052e+04
1.031069602121663593e+04,1.542315007557590434e+04
1.048384684846880009e+04,1.563605456650078122e+04
1.065957411899377075e+04,1.584696603104491624e+04
1.083821183210629351e+04,1.605562610161587509e+04
1.101924985083490901e+04,1.626242939836797632e+04
1.120146600516448234e+04,1.646832133978088314e+04
1.138516570543593298e+04,1.667264136759258690e+04
1.157261525122605781e+04,1.687262144959121360e+04
1.176799779693333949e+04,1.706342014275551992e+04
1.197371878141018351e+04,1.724225347259265254e+04
1.218939282509061559e+04,1.740944570420400123e+04
1.241207101595200766e+04,1.756806980334401669e+04
1.263955744615391632e+04,1.772010898781537617e+04
1.287084866737604716e+04,1.786631339752060012e+04
1.310545183293311675e+04,1.800727871128548213e+04
1.334227918556191980e+04,1.814472562972735614e+04
1.358007521984300547e+04,1.828064021078709993e+04
1.381809854008579896e+04,1.841619525290571619e+04
1.405612186032859427e+04,1.855175029502433244e+04
1.429422897579199525e+04,1.868682755661587362e+04
1.453262645423046342e+04,1.882024923720573133e+04
1.477164363593231428e+04,1.895013751637173482e+04
1.501148124805789303e+04,1.907534789532537616e+04
1.525209447269983684e+04,1.919613591517325767e+04
1.549319294688307855e+04,1.931415715691706282e+04
1.573436156671158278e+04,1.943174218047186514e+04
1.597517243318663350e+04,1.955125685137416804e+04
1.621518485220683033e+04,1.967510234078192661e+04
1.645425328389273272e+04,1.980406806420310386e+04
1.669314914739239975e+04,1.993616505943523589e+04
1.693367289463704219e+04,2.006639904875562570e+04
1.717826226579579816e+04,2.018889528071979657e+04
1.742803985964805179e+04,2.030090284478738613e+04
1.768247691231650242e+04,2.040347548475154690e+04
1.793952387878220179e+04,2.050076331813946308e+04
1.819755289026931496e+04,2.059606261152548177e+04
1.845569397551208749e+04,2.069113496710169056e+04
1.871383506075486002e+04,2.078620732267789936e+04
1.897197614599763256e+04,2.088127967825410815e+04
1.923011723124040509e+04,2.097635203383032058e+04
1.948825831648317762e+04,2.107142438940652937e+04
1.974639940172595016e+04,2.116649674498273816e+04
2.000454048696872269e+04,2.126156910055895059e+04
2.026268157221149522e+04,2.135664145613516666e+04
2.052082265745426412e+04,2.145171381171137546e+04
2.077896374269703665e+04,2.154678616728758425e+04
2.103710482793980918e+04,2.164185852286379304e+04
2.129524591318258535e+04,2.173693087844000183e+04
2.155338699842535789e+04,2.183200323401621426e+04
2.181152808366813042e+04,2.192707558959242306e+04
2.206966916891089932e+04,2.202214794516863185e+04
2.232782668120577364e+04,2.211715925056967171e+04
2.258612182169902007e+04,2.221165906884784272e+04
2.284478056563104110e+04,2.230480757628294305e+04
2.310408438118008780e+04,2.239555871290777213e+04
2.336410518833609603e+04,2.248364519230016231e+04
2.362483223425157485e+04,2.256861792527676516e+04
2.388655469270180038e+04,2.264713930854240971e+04
2.415012670521096516e+04,2.271199821489810347e+04
2.441658675499953461e+04,2.275499172215965882e+04
2.468614128502052336e+04,2.277455684580821617e+04
